Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,155.339996,156.899994,154.600006,155.380005,144.872345,3177700
2016-05-17,154.740005,157.110001,153.770004,154.649994,144.191711,2701500
2016-05-18,154.809998,160.000000,154.649994,159.940002,149.123993,3653300
2016-05-19,158.679993,159.949997,154.520004,154.699997,144.238297,4712000
2016-05-20,155.759995,156.410004,153.919998,154.509995,144.061188,3247800
2016-05-23,154.440002,156.089996,153.740005,155.449997,144.937607,2767600
2016-05-24,156.669998,158.550003,156.440002,157.589996,146.932907,3038800
2016-05-25,158.059998,162.289993,158.029999,161.250000,150.345367,3259900
2016-05-26,161.160004,161.330002,159.169998,159.220001,148.452667,2576100
2016-05-27,158.699997,160.399994,158.320007,159.529999,149.351395,2157000
2016-05-31,160.399994,161.649994,158.550003,159.479996,149.304611,2916100
2016-06-01,157.899994,160.550003,156.000000,159.970001,149.763306,2581600
2016-06-02,160.139999,160.330002,158.460007,159.279999,149.117355,2257100
2016-06-03,155.860001,156.539993,153.860001,155.669998,145.737671,4329300
2016-06-06,156.250000,157.910004,155.770004,157.059998,147.038986,2540400
2016-06-07,157.199997,157.470001,155.169998,155.169998,145.269592,2489700
2016-06-08,155.199997,156.580002,153.910004,154.639999,144.773422,2426800
2016-06-09,153.789993,154.289993,152.460007,153.169998,143.397171,2711700
2016-06-10,151.350006,151.660004,149.570007,149.889999,140.326447,4335700
2016-06-13,149.000000,151.320007,148.589996,148.630005,139.146851,3385800
2016-06-14,148.220001,149.050003,145.449997,146.190002,136.862549,5069600
2016-06-15,147.160004,148.699997,145.899994,146.160004,136.834457,2981400
2016-06-16,145.000000,146.990005,143.529999,146.630005,137.274475,3499200
2016-06-17,146.630005,148.229996,145.460007,145.639999,136.347641,4296500
2016-06-20,148.500000,150.500000,147.580002,147.750000,138.323029,3338900
2016-06-21,148.500000,148.830002,147.119995,148.350006,138.884735,2424600
2016-06-22,148.009995,150.119995,147.990005,148.139999,138.688126,2487600
2016-06-23,150.559998,152.800003,150.139999,152.660004,142.919739,2940500
2016-06-24,143.029999,146.419998,140.919998,141.860001,132.808792,9442200
2016-06-27,140.070007,141.229996,138.199997,139.509995,130.608734,7381000
2016-06-28,142.210007,142.619995,139.820007,142.410004,133.323730,5041500
2016-06-29,143.600006,145.550003,142.929993,145.500000,136.216568,3804100
2016-06-30,146.669998,148.880005,145.369995,148.580002,139.100037,4528600
2016-07-01,148.490005,150.699997,148.070007,148.250000,138.791092,3096800
2016-07-05,146.720001,146.940002,143.330002,144.449997,135.233521,3943000
2016-07-06,142.940002,145.940002,142.619995,145.580002,136.291443,2941800
2016-07-07,146.000000,148.089996,145.360001,147.000000,137.620880,2578300
2016-07-08,149.360001,150.919998,148.309998,150.380005,140.785187,3281400
2016-07-11,151.490005,152.979996,151.380005,152.190002,142.479736,3041600
2016-07-12,154.000000,157.250000,153.919998,156.919998,146.907883,5110800
2016-07-13,157.000000,158.270004,156.149994,157.919998,147.844116,4276400
2016-07-14,160.289993,163.240005,160.009995,162.539993,152.169357,5087700
2016-07-15,162.860001,163.139999,160.699997,161.639999,151.326767,3078400
2016-07-18,162.360001,164.089996,162.009995,163.330002,152.908966,4734500
2016-07-19,162.020004,164.080002,160.729996,161.410004,151.111450,5399700
2016-07-20,162.550003,162.889999,159.220001,161.770004,151.448456,3547800
2016-07-21,161.710007,161.899994,159.770004,160.050003,149.838226,2855500
2016-07-22,160.289993,160.729996,159.860001,160.410004,150.175278,1811700
2016-07-25,159.639999,161.330002,159.610001,160.509995,150.268906,1956100
2016-07-26,160.679993,161.500000,159.419998,161.160004,150.877411,2150100
2016-07-27,161.199997,162.169998,160.410004,160.990005,150.718246,2317200
2016-07-28,160.179993,160.960007,158.839996,160.529999,150.287613,2047400
2016-07-29,159.509995,160.190002,158.649994,158.809998,148.677353,2388200
2016-08-01,158.809998,159.919998,157.929993,158.179993,148.087524,2316300
2016-08-02,157.649994,158.460007,155.369995,156.059998,146.102798,3182800
2016-08-03,156.449997,158.949997,156.179993,158.339996,148.237305,2284700
2016-08-04,158.220001,158.899994,157.410004,158.050003,147.965866,2005700
2016-08-05,159.750000,162.130005,159.199997,162.089996,151.748093,2676100
2016-08-08,162.100006,163.979996,162.009995,162.830002,152.440826,2266600
2016-08-09,162.500000,164.580002,162.500000,163.440002,153.011932,1957400
2016-08-10,163.449997,163.600006,162.009995,162.190002,151.841690,1656100
2016-08-11,162.199997,164.250000,161.929993,163.860001,153.405136,1827700
2016-08-12,162.669998,163.369995,162.070007,163.250000,152.834061,1440800
2016-08-15,163.869995,165.839996,163.800003,165.550003,154.987305,2222200
2016-08-16,164.990005,166.759995,164.720001,165.649994,155.080902,2523800
2016-08-17,165.940002,166.320007,164.740005,165.669998,155.099625,2061700
2016-08-18,165.339996,166.559998,164.630005,166.059998,155.464767,1750500
2016-08-19,165.360001,166.899994,164.500000,166.229996,155.623886,1840900
2016-08-22,166.000000,166.910004,164.889999,166.259995,155.652023,1448100
2016-08-23,167.000000,167.850006,165.979996,166.080002,155.483505,1965500
2016-08-24,165.779999,166.699997,164.850006,165.300003,154.753265,2035300
2016-08-25,165.080002,166.039993,164.610001,165.899994,155.314972,1441400
2016-08-26,166.759995,168.070007,165.360001,165.970001,155.380478,2402200
2016-08-29,166.600006,167.860001,166.149994,166.869995,156.223068,2620900
2016-08-30,166.220001,169.509995,166.220001,169.369995,159.183594,2934100
2016-08-31,169.250000,170.240005,167.470001,169.460007,159.268188,3688200
2016-09-01,170.000000,170.070007,166.660004,168.509995,158.375336,2843300
